text,response,欄1
猜猜我是誰？我是你當兵的學長啦，最近手頭有點緊，能不能借點錢週轉？,這是典型的「猜猜我是誰」詐騙，請立即掛斷電話，有任何疑問都可撥打 165 反詐騙專線求證。,80
我是你孫子，我跟人打架要賠錢，阿公你快點匯錢救我。,請立刻掛斷電話，這是典型的「猜猜我是誰」詐騙，有任何疑問馬上撥打 165 反詐騙專線查證。,80
喂？老朋友，我最近剛換工作，手頭有點緊，借個三千過兩天還你。,這是典型的「猜猜我是誰」詐騙，請立即掛斷電話，並用你原本儲存的號碼聯絡朋友查證。,100
我是你以前的鄰居，我最近手頭緊，能不能借我五千塊買菜？,這是典型的「猜猜我是誰」詐騙，請直接掛斷電話，有任何疑問都可撥打 165 反詐騙專線求證。,80
你好，我是你姪子，我換手機號碼了，原本那支停用了。,這是典型的「猜猜我是誰」詐騙，請直接掛斷，並用你原本儲存的號碼聯絡姪子本人求證。,100
我是你的真命天子，雖然我們相隔兩地，但心是在一起的，借我五萬好嗎？,這是典型的愛情詐騙，請立刻掛斷電話，並撥打 165 反詐騙專線查證。,80
我是您公司的系統管理員，請告訴我您的登入密碼，我要做例行檢查。,請立即掛斷，並主動聯繫公司資訊部門查證，真正的管理員絕不會索取密碼。,100
同學，我是教務處，你的學費減免申請少蓋一個章，去提款機操作補正。,這是詐騙，請立刻掛斷電話。ATM沒有任何補正或取消設定的功能，有疑問請撥打165。,80
猜猜我是誰？聽不出來喔？我們上次在同學會見過啊，你聲音怎麼變了？,這是典型的「猜猜我是誰」詐騙手法，請立即掛斷電話，不要與對方交談或透露任何資訊。,100
喂？猜猜我是誰？聽不出來喔？我們很久沒見了耶，我是你老同學啦。,這是典型的「猜猜我是誰」詐騙，請直接掛斷電話，有疑問可撥打 165 反詐騙專線查證。,80
我是你在IG上認識的那個模特兒，我現在沒錢吃飯了，請我吃飯好嗎？,這是典型的假交友詐騙，請直接掛斷並封鎖對方，有任何疑問可撥打 165 反詐騙專線求證。,100
我是你姪子，我現在出車禍了不敢跟家裡講，姑姑你先借我醫藥費。,請立即掛斷電話，並主動打電話給你的姪子或其家人求證，千萬不要匯款。,80
先生你好，我是你女兒的學校教官，她現在涉及偷竊被留置，請家長處理。,請立刻掛斷電話，這是典型的假冒官員詐騙，請主動聯繫學校或撥打 165 確認真偽。,0
我是你在交友軟體認識的那個香港總裁，記得我嗎？我想帶你一起賺錢。,這是典型的假交友投資詐騙，請立刻掛斷電話，並撥打 165 反詐騙專線諮詢。,80
喂？媽，是我啦！我的手機掉進水裡壞掉了，這是借朋友的手機打給你的。,請立刻掛斷電話，並用你原本儲存的號碼回撥給家人求證，有任何疑問請撥打 165。,80
姑姑，我是小陳啦，我現在在醫院，急需一筆手術保證金，能不能先借我？,這是典型的「猜猜我是誰」詐騙，請馬上掛斷電話，再用您自己知道的號碼聯絡家人查證或撥打 165。,100
親愛的，不要聽你朋友亂說，他們是嫉妒我們賺錢，你要相信我。,這是典型的假投資詐騙話術，意圖孤立你，請立即掛斷電話並撥打 165 查證。,80
只要你加入我們的LINE群組，每天晚上八點都有老師直播教學，完全免費。,這是典型的投資詐騙起手式，請直接掛斷電話，切勿加入任何群組。,100
姑姑，我現在急需用錢，不敢跟爸媽說，你能不能偷偷借我一萬？,這是典型的「猜猜我是誰」詐騙，請直接掛斷電話，再用您自己儲存的號碼打給該位親友求證。,100
我是您孩子的補習班老師，他剛剛受傷送醫了，需要先繳醫藥費。,請立刻掛斷電話，並主動聯繫校方或撥打 165 查證，千萬不要匯款。,80
我是你姪子啦，姑姑你忘記我了嗎？我騎車撞到人，急需和解金。,這是典型的「猜猜我是誰」詐騙，請立即掛斷電話，並用您自己原有的聯絡方式向姪子本人查證。,100
我是你姪女，姑姑我手機壞了，這是我朋友的電話，能先借我五千嗎？,"這是典型的「假親友」詐騙，請立刻掛斷電話。
務必撥打姪女原本的電話號碼或詢問其他親友求證，千萬不要直接匯款。",100
我是你的網戀對象John，我的女兒突然生病了，急需醫藥費，拜託你幫幫我。,"這是常見的「網路愛情詐騙」（殺豬盤），請**立刻停止所有金錢往來與聯繫**。
切勿因為對方聲稱的緊急狀況而匯款，應該冷靜下來並封鎖該對象，以免損失更多財產。",100
我是你很久沒見的親戚，我現在在機場錢包不見了，借我一點錢。,"這是「假親友急難」詐騙，請直接掛斷電話
您可以先嘗試聯繫這位親戚原本已知的手機號碼或其他家人，確認情況是否屬實，切勿在未查證下匯款。",100
快點，老師說現在馬上買進，十分鐘後準時賣出，做短線價差。,"這是典型的「假投資詐騙」（俗稱「飆股」），請立刻停止所有操作並封鎖對方
股市並沒有穩賺不賠的內線消息，切勿聽信來路不明的「老師」指示進行買賣，以免血本無歸。",100
我是國稅局，您有一筆退稅款項一直沒領，請去ATM操作領取。,"這是常見的「假冒公務機關」詐騙，請**直接掛斷電話，這是詐騙手法**。
政府機關不會透過電話指示您去操作 ATM 領取或設定退稅，若有疑問，請直接撥打國稅局官方電話查證。",80
如果不配合我們調查，你的所有資產都會被法院查封。,"這是「假檢警」詐騙，請**直接掛斷電話，這是恐嚇取財的伎倆**。
司法機關不會透過電話或傳真要求您將資產轉入任何指定帳戶或監管，遇到此類狀況請立即撥打反詐騙諮詢專線 165 報案。",80
我是監理站，您有一筆交通罰單逾期未繳，即將扣押您的駕照。,"這是「假冒公務機關」詐騙，請**直接掛斷電話，勿聽信指示**。
若有交通罰單相關疑慮，請自行上網或至超商多媒體機查詢，或撥打反詐騙諮詢專線 165 求證。",100
我是地檢署檢察官，為了偵查不公開，你不能跟任何人說這通電話的內容。,"這是典型的「假檢警」詐騙，請**立刻掛斷電話**。
真正的檢察官或司法單位不會以「偵查不公開」為由要求民眾不得與他人討論或查證，請撥打 165 專線求證。",80
我是地檢署，你現在涉及詐欺，不要掛電話，立刻去銀行領錢。,"這是「假檢警」詐騙的連環伎倆，請**立刻掛斷電話，不要依照指示行動**。
檢警人員絕對不會要求您「不要掛電話」或「立刻去銀行領錢」，遇到此類電話請立即撥打 165 反詐騙專線。",100
法院傳票通知：您涉及詐欺案，開庭時間是明天上午，不到庭就拘提。,"這是「假檢警」或「法院傳票」詐騙，請**不要理會，立刻掛斷電話**。
法院傳票一定是以**書面郵寄**送達，不會透過電話或簡訊通知開庭或拘提，若有疑慮請撥打 165 專線查證。",80
我是你孫子啦，我在外面跟人家打架，現在在警察局，急需保釋金。,"這是「假親友」詐騙，請**立刻掛斷電話，這是詐騙集團慣用的手法**。
務必撥打孫子原本的電話或聯繫其父母查證是否真有此事，切勿因為恐慌而輕易匯款。",100
您的車貸逾期未繳，我們已經向法院申請強制拖吊，請立刻匯款。,"這是「假冒金融機構」詐騙，請**直接掛斷電話，這是詐騙恐嚇手法**。
如果擔心車貸問題，請自行撥打您**貸款合約上的銀行客服電話**確認，切勿聽信來電指示匯款。",100
健保局通知：您的健保卡違規借給他人使用，即將停權。,"這是「假冒公務機關」詐騙，請**立刻掛斷電話，這是詐騙話術**。
健保局不會以電話通知您的健保卡違規或停權，若有疑慮，請自行撥打 165 反詐騙專線或健保局官方電話查證。",80
