Column1,欄1
您的二手拍賣帳號被停權，因為涉及洗錢，請聯繫客服。 , 這很可能是詐騙電話！請直接掛斷電話，不要提供任何個人資料或操作任何指示。 ,80
你好，我是你姪子，我換手機號碼了，原本那支停用了。 , 這個可能是詐騙電話！不要透露任何個人資訊，直接掛斷即可。 ,80
我是你在交友軟體認識的那個香港總裁，記得我嗎？我想帶你一起賺錢。 , 這很可能是詐騙電話！直接掛斷電話就好，不要理會。 ,60
我是蝦皮賣家，不好意思，工讀生不小心把您的訂單設定成連續扣款12個月。 , 這是詐騙電話！請不要提供任何個人資訊或信用卡資料，直接掛斷電話即可。 ,80
你好，我們是投資顧問公司，老師帶你操作比特幣，穩賺不賠。 , 這很可能是詐騙電話！直接掛斷電話，不要提供任何個人資訊或金錢。 ,80
快點，老師說現在馬上買進，十分鐘後準時賣出，做短線價差。 , 這很可能是詐騙電話！千萬不要聽信陌生人投資建議，更不要隨意提供個人資料或轉帳。 ,80
我是警衛，有警察拿著搜索票要進來搜您家，您現在在家嗎？ , 這很可能是詐騙電話！**請直接掛斷電話，不要提供任何個人資訊。** ,80
快遞通知，您的包裹裡面有違禁品，被海關扣留了，要繳罰款才能領。 , 這是詐騙電話！直接掛斷即可，切勿提供任何個人資料或付款。 ,80
寶貝，你是我這輩子遇過最特別的人，我不希望你因為沒錢而受苦，快跟著我投資。 , 這Clearly is a scam!  **直接掛斷電話，不要理會他。** 這種話術很常見，千萬不要被騙了。 ,60
只要拉三個朋友進來投資，你就可以升級成鑽石會員，領取更高的佣金。 , 這很可能是詐騙電話！千萬不要相信這種「拉人頭」賺錢的說法，避免被騙財。,80
我是你孫子啦，我在外面跟人家打架，現在在警察局，急需保釋金。 , 千萬不要被騙！這種是常見的詐騙手法，要立即掛斷電話，並向家人確認孫子的狀況。 ,80
我是你姪女，姑姑我手機壞了，這是我朋友的電話，能先借我五千嗎？ , 這種情況很可能是詐騙電話，絕對不要匯款！可以詢問對方一些只有你和姪女才知道的事情，確認身份真偽。 ,80
同學，我是教務處，你的學費減免申請少蓋一個章，去提款機操作補正。 , 這是詐騙電話！絕不應按照指示操作，直接掛斷電話即可。 ,80
您的Line Pay帳戶顯示異常登入，為了安全請點擊連結重新驗證。 , 這是一通詐騙電話！千萬不要點擊任何連結，並立即掛斷電話。 ,80
我們發現博弈網站的後台有漏洞，只要跟著我們的程式下注，絕對穩賺不賠。 , 這很可能是詐騙電話！切勿相信，直接掛斷即可。 ,60
我是你很久沒見的親戚，我現在在機場錢包不見了，借我一點錢。 , 這很可能是詐騙電話！不要輕易透露個人資訊或匯款給陌生人。  ,80
我是虛擬貨幣大戶，我現在要散財做公益，轉一顆以太幣給我，我還你十顆。 , 這是一 typical 的詐騙電話！千萬不要把你的以太幣給他，直接掛斷電話就好。 ,80
我是Line Pay客服，您的帳號被偵測到異常登入，請提供驗證碼解除鎖定。 , 這是一個詐騙電話！切勿提供任何驗證碼或個人資訊給來電者。 ,80
我是你的理財專員，現在有個限時方案，只要投入十萬，下個月領回十二萬。 , 這很可能是詐騙電話！千萬不要輕信，直接掛斷電話即可。 ,60
老婆，這是我千辛萬苦才爭取到的投資名額，千萬不要浪費。 , 這很可能是詐騙電話！別聽信任何投資名額的說法，直接掛斷電話即可。 ,80
我是蝦皮資安人員，發現有駭客正在嘗試更改您的銀行帳號，請立刻攔截。 , 這很可能是詐騙電話！切勿提供任何個人資訊或操作手機，直接掛斷電話即可。 ,80
我是地檢署檢察官，為了偵查不公開，你不能跟任何人說這通電話的內容。 , 這是一通詐騙電話！直接掛斷電話即可，不要透露任何個人資訊。 ,80
我是你以前的鄰居，我最近手頭緊，能不能借我五千塊買菜？ , 這種情況很可能是詐騙電話！切勿輕易透露個人資訊或匯款給陌生人，並立即掛斷電話。 ,80
法院傳票通知：您涉及詐欺案，開庭時間是明天上午，不到庭就拘提。 , 這是一個常見的詐騙電話！請**切勿理會**，並將電話號碼記錄下來，可以向警方報案。 ,60
寶貝，只要這次投資成功，我們就可以在台北買房子，過我們想要的生活。 , 這很可能是詐騙電話！不要相信陌生人，切勿透露個人資訊或匯款給對方。 ,100
姑姑，我是小陳啦，我現在在醫院，急需一筆手術保證金，能不能先借我？ , 這很可能是詐騙電話！請不要輕易相信，直接掛斷電話，並向家人確認姑姑是否真的需要幫助。 ,80
寶貝，這是我要在退休後帶你環遊世界的基金，你先幫我保管一下。 , 這是常見的詐騙手法！絕對不要相信，直接掛斷電話即可。 ,60
您的訂單被系統誤判為詐騙，需要您轉帳一筆錢來證明信用。 , 這絕對是詐騙電話！切勿轉帳任何款項，直接掛斷電話並將號碼封鎖。 ,0
您的健保卡被盜用去領管制藥品，現在警察要過去抓你了，不想留案底就快點和解。 , 這是一起詐騙電話，請直接掛斷！切勿提供任何個人資訊或匯款。 ,80
只要先繳交保險費，就可以獲得這份高風險高報酬的工作。 , 這很可能是詐騙電話！切勿輕信，不要提供任何個人資料或匯款。 ,80
你好，我是投資顧問公司的陳經理，我們現在有一個針對VIP客戶的飆股佈局。 , 這很可能是詐騙電話，直接掛斷即可，不要聽信任何投資建議。 ,80
我是你姪子啦，姑姑你忘記我了嗎？我騎車撞到人，急需和解金。 , 這很可能是詐騙電話！不要給予任何金錢或個人資訊，立刻掛斷電話並通知家人朋友。 ,80
這檔虛擬貨幣是下一個比特幣，現在進場剛好是起漲點，保證獲利300%。 , 這是常見的投資詐騙！請直接掛斷電話，不要相信任何保證獲利的投資方案。 ,80
健保局通知：您的健保卡違規借給他人使用，即將停權。 , 這是常見的詐騙電話！請**直接掛斷**，不要提供任何個人資訊。 ,80
猜猜我是誰？聽不出來喔？我們上次在同學會見過啊，你聲音怎麼變了？ , 這很可能是詐騙電話，不要透露任何個人資訊，直接掛斷即可。 ,80
您訂購的電影票因為系統維護，需要取消訂單並退款。 , 這很可能是詐騙電話！請直接掛斷電話，不要提供任何個人資訊或按任何指示。 ,80
我是亞馬遜客服，您有一筆跨國訂單金額過大，需要您確認是否為本人操作。 , 這應該是詐騙電話！不要提供任何個人資訊或信用卡資料，直接掛斷電話即可。,80
我是你在IG上認識的那個模特兒，我現在沒錢吃飯了，請我吃飯好嗎？ , 這個可能是詐騙電話！不要理會他，直接掛斷電話即可。 ,60
